Timestamp,value
2021-03-01 11:05:00,15030652.83967112
2021-03-01 11:10:00,13645580.104928458
2021-03-01 11:15:00,12622026.021578947
2021-03-01 11:20:00,14645574.479532164
2021-03-01 11:25:00,10494872.583333334
2021-03-01 11:30:00,13686365.555263158
2021-03-01 11:35:00,11293656.226227796
2021-03-01 11:40:00,10308319.035858586
2021-03-01 11:45:00,11939161.921658985
2021-03-01 11:50:00,12877019.55225359
2021-03-01 11:55:00,11988008.885097843
2021-03-01 12:00:00,11592696.538227849
2021-03-01 12:05:00,12621506.958962264
2021-03-01 12:10:00,12151073.838398457
2021-03-01 12:15:00,10846944.614272388
2021-03-01 12:20:00,12303246.011563368
2021-03-01 12:25:00,11962146.052097742
2021-03-01 12:30:00,12678271.247053491
2021-03-01 12:35:00,12671400.409455843
